# timestamp: 1605559639.725576
# datetime: 2020-11-16T15:47:19.725576
# note: Settings pulled from archiver
# filepath: settings_at_2020-11-16T20:49:13.000Z.csv
# user: tong
# ion_name: 
# ion_number: 
# ion_mass: 
# ion_charge: 
# machine: FRIB_VA
# segment: LS1FS1
# tags: 
# app: Settings Manager
# version: 5.0
Name,Field,Type,Pos,Setpoint,Readback,Last Setpoint,Tolerance,Writable
LS1_CA01:DCV_D1132,I,VCOR,0.7853645,0.00014556,nan,nan,0.1,True
LS1_CA01:DCH_D1132,I,HCOR,0.7853645,2.15e-06,nan,nan,0.1,True
LS1_CA01:DCV_D1146,I,VCOR,2.2606035,0.00018344,nan,nan,0.1,True
LS1_CA01:DCH_D1146,I,HCOR,2.2606035,-3.482e-05,nan,nan,0.1,True
LS1_CA02:DCV_D1165,I,VCOR,4.1584595,0.00016904,nan,nan,0.1,True
LS1_CA02:DCH_D1165,I,HCOR,4.1584595,-0.00012577,nan,nan,0.1,True
LS1_CA02:DCV_D1180,I,VCOR,5.6336985,0.00014821,nan,nan,0.1,True
LS1_CA02:DCH_D1180,I,HCOR,5.6336985,5.185e-05,nan,nan,0.1,True
LS1_CA03:DCV_D1199,I,VCOR,7.5315545,0.00013771,nan,nan,0.1,True
LS1_CA03:DCH_D1199,I,HCOR,7.5315545,2.356e-05,nan,nan,0.1,True
LS1_CA03:DCV_D1214,I,VCOR,9.0067935,0.00021266,nan,nan,0.1,True
LS1_CA03:DCH_D1214,I,HCOR,9.0067935,-3.084e-05,nan,nan,0.1,True
LS1_CB01:DCV_D1235,I,VCOR,11.14420784,0.00085521,nan,nan,0.1,True
LS1_CB01:DCH_D1235,I,HCOR,11.14420784,2.514e-05,nan,nan,0.1,True
LS1_CB01:DCV_D1255,I,VCOR,13.14193368,0.00080906,nan,nan,0.1,True
LS1_CB01:DCH_D1255,I,HCOR,13.14193368,3.316e-05,nan,nan,0.1,True
LS1_CB01:DCV_D1275,I,VCOR,15.13965952,0.00075353,nan,nan,0.1,True
LS1_CB01:DCH_D1275,I,HCOR,15.13965952,-3.677e-05,nan,nan,0.1,True
LS1_CB02:DCV_D1299,I,VCOR,17.51663236,0.00061836,nan,nan,0.1,True
LS1_CB02:DCH_D1299,I,HCOR,17.51663236,3.682e-05,nan,nan,0.1,True
LS1_CB02:DCV_D1319,I,VCOR,19.5143582,0.0004911,nan,nan,0.1,True
LS1_CB02:DCH_D1319,I,HCOR,19.5143582,1.759e-05,nan,nan,0.1,True
LS1_CB02:DCV_D1339,I,VCOR,21.51208404,0.00049448,nan,nan,0.1,True
LS1_CB02:DCH_D1339,I,HCOR,21.51208404,-4.45e-06,nan,nan,0.1,True
LS1_CB03:DCV_D1363,I,VCOR,23.88905688,0.00039428,nan,nan,0.1,True
LS1_CB03:DCH_D1363,I,HCOR,23.88905688,2.663e-05,nan,nan,0.1,True
LS1_CB03:DCV_D1383,I,VCOR,25.88678272,0.00033497,nan,nan,0.1,True
LS1_CB03:DCH_D1383,I,HCOR,25.88678272,2.014e-05,nan,nan,0.1,True
LS1_CB03:DCV_D1403,I,VCOR,27.88450856,0.00036422,nan,nan,0.1,True
LS1_CB03:DCH_D1403,I,HCOR,27.88450856,3.4e-07,nan,nan,0.1,True
LS1_CB04:DCV_D1426,I,VCOR,30.2614814,0.00029213,nan,nan,0.1,True
LS1_CB04:DCH_D1426,I,HCOR,30.2614814,2.186e-05,nan,nan,0.1,True
LS1_CB04:DCV_D1446,I,VCOR,32.25920724,0.00026242,nan,nan,0.1,True
LS1_CB04:DCH_D1446,I,HCOR,32.25920724,2.022e-05,nan,nan,0.1,True
LS1_CB04:DCV_D1466,I,VCOR,34.25693308,0.00029325,nan,nan,0.1,True
LS1_CB04:DCH_D1466,I,HCOR,34.25693308,1.74e-06,nan,nan,0.1,True
